,Name,Latitude,Longitude,rating,address,photoreference
0,Apotik Padang,-0.9514235999999999,100.3744973,3.8,"Jl. Parak Pisang No.13, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat, Indonesia",ATtYBwIwtny8YE-woMIPRgLlZuj0jwakNBNyuuRh0sNSXb585Y6m_mI90XKi81VgI63ZKQ-dxJVHT3_zPzarKsCiSLVOqavwmUP0d1gzoPJgHYcfJ3GXh0wW8YIwWqYZGCnKfS8DWpeH7M0VL12rsH5sp2DjMBshdZCDUdl3XWizh0r0i_eX
1,ApotIk madya tarandam,-0.9509523000000001,100.3653159,4.3,"Ganting Parak Gadang, Padang Timur, Padang City, West Sumatra 25133, Indonesia",ATtYBwLkJOx714WiHGODyUGE-Mcnh6esOEvCwquiLbN89DVaib1OuiMqL-lalAp7BQvWqvrbphq9xvJKUl47Zc9Wc4B0wSpyizU7cFyUn4J7iL34GPRTvTSO6Eyx7eQ7hSixCwsnaTrhpLD6W2H7lY5wWto1tpswSUFxWRXUMR5B2TdgYkqd
2,Bantuan Baru Apotik,-0.9436003,100.3662852,3.6,"Jl. Perintis Kemerdekaan No.29, Sawahan, Kec. Padang Tim., Kota Padang, Sumatera Barat 25171, Indonesia",ATtYBwJSjgL4Uy3aVT-DRx7cTXSR1uejdseLMkU80sRci6pHB9kLrtd5RneSbvIyR3wIeSSMoUBV3Oy30dDS-DygIsOimqBckOfi6IJ4-9xmiFDWlVld1pcgGDoaKfQb-LlzTNID9hIurOiI9fF7COlzsUif7rifkld5oqnxcTt65d3L_c03
3,Bunda Apotik,-0.9394003,100.3537587,4.0,"Jl. Veteran No.4-A, Purus, Kec. Padang Bar., Kota Padang, Sumatera Barat 25113, Indonesia",NULL
4,Farma Indah Apotik,-0.9023205000000001,100.3624577,4.7,"Jl. Jhoni Anwar No.123, Kp. Olo, Kec. Nanggalo, Kota Padang, Sumatera Barat 25173, Indonesia",ATtYBwLrAcpesyALi_TFvpHIs6krEylWA7Q5VH2EpE-fmNG_2ZE9tZ1SKvzITRJBrR16Zu7_AXxSvDKSVX3-V61DDrKZrN-WLiRxl5b325biqxfFeQaoXhnqoiY_cpajXz6HMu-vDtiVCjjDf__XJjx_DCLir86O3XkwNw-JFlohxXLT2_n6
5,Apotik Amanah Yarsi,-0.9513248,100.3643181,4.2,"Jl. Proklamasi No.63, Alang Laweh, Kec. Padang Sel., Kota Padang, Sumatera Barat 25133, Indonesia",ATtYBwLL0dbC7kxPKHnVBpqfzFP8F4CINCmDt1t9gcvyMqt8XvPYIAX90Tj8hEBdhGSYeUXOojHne1B-8wUmV63Htq1cjrjAl7pM36ULkRWmk1haupbeE5PsbWwif0XzypB_zMq4PZkRqvT3tDROMY7te0jecAYpYqLrvtQskdH7flPLMdYc
6,Apotik Sehat,-0.9595634,100.3626799,4.3,"Jl. Niaga No.180, Belakang Pd., Kec. Padang Sel., Kota Padang, Sumatera Barat 25134, Indonesia",ATtYBwJOWSkhfmpo-ExTbuseOwvc1Zd1Gq8PVDvo64ALAwu9AE1EwF_AWAnNmpppWaxyAErIkuzALvOZG8DQrbR5W7FMH5UMmo5vmcMOMA_OL5YjUWYOTKX03NU-JU9MFZwzxOqed8Pa4sDfghRsu-1tNCWhVmlZwq9Mf6XshBwIdkYnNSCj
7,Apotik satria,-0.9512174999999999,100.368785,5.0,"Jl. Proklamasi No.20, Ganting Parak Gadang, Kec. Padang Tim., Kota Padang, Sumatera Barat 25133, Indonesia",ATtYBwLLbDQj7gbwpnpHFlJUQyRcbrPVPIOgJUbKdmcI9oEhfgOz_PlmOQeg4Hb5oB830CbuPiD9994e-UFUViiHWZSFKMTEakvzCE3tU-Bc2iU-7kcsc7x78V38LwRk7Aa7JiV8-dcFU57suJhUYYPAWbvTnFKFHBF0x3jbKladrrCYKxNZ
8,Apotik Riza,-0.9367397,100.3886014,5.0,"Jl. M. Yunus, Anduring, Kec. Kuranji, Kota Padang, Sumatera Barat 25171, Indonesia",NULL
9,Apotik Fortuna,-0.9440645999999999,100.3990969,5.0,"JL. By Pass KM 18 Kt. Panjang, Padang, Pisang, Pauh, Padang City, West Sumatra 25146, Indonesia",NULL
10,Apotek Sari,-0.9555219,100.3628713,4.3,"Jl. Thamrin No.9, Belakang Pd., Kec. Padang Sel., Kota Padang, Sumatera Barat 25134, Indonesia",ATtYBwIHtajqCKogHWr-JmQPcaRdqVB-HBx_tjwpsWC5c_GywUIDli0kWeHgQoKB2whaulpiAVVW6AwzZUiVwDxlHFq9e1-yRUR9VZnekWPhGVqSYcimghH9dxGifFRiS3jhyW-_U3y6wA3hqlRjL_mONo8P39AqcouZ-Ripq5V2535U4El7
