,Name,Latitude,Longitude,rating,address,photoreference
0,Puskesmas Seberang Padang,-0.9530417999999999,100.3720037,2.8,"Jl. Seberang Padang Utara I, Seberang Padang, Kec. Padang Sel., Kota Padang, Sumatera Barat 25214, Indonesia",NULL
1,Puskesmas Air Tawar,-0.9025109,100.3479751,3.8,"West Air Tawar, Padang Utara, Padang City, West Sumatra, Indonesia",ATtYBwI8chyS9Vy85mu60-IkzbV5cS2VFHFmrLVV_0ZZMv30LixcX3-hajQdndYBQ324B7IrcrghLgc_R_n4oznJdraDrtF0UV7L-JlP7CZ1--HGIL9ztRHlIPOyora90qd4zdCc7zvt3EzRomhQjhHJyBPdiC8JQagSId7XfkVIM1DRdyuM
2,Puskesmas Padang Pasir,-0.9407251,100.358251,3.3,"Padang Pasir IV, Padang Pasir, Kec. Padang Bar., Kota Padang, Sumatera Barat, Indonesia",ATtYBwI9dYvuflJfS7waOhBKumMiR6_Cavi96-4OwQpWuxqVSvsFNmCryDpU6puzS7wcMxYX1nbIR_NFes_GKeX59NQJL2xpCmUgpSL1urV6RZmc6MwqEiuXGZEKtQvjLU5i-OZD0QFLTVLNVRkgXczmnug0Q0arT9Hf3mlC_rqroVD_BD0l
3,Puskesmas Alai Kota Padang,-0.9257185,100.3674144,4.7,"Jl. Teuku Umar, Alai Parak Kopi, Kec. Padang Utara, Kota Padang, Sumatera Barat 25173, Indonesia",ATtYBwIzDdxoAzDbkFfVhrhmxmqkCGKPNEOuFEuZke6xEsNpbK-cDFYrv_srELQOKmLFtjU9MmZDStCUIwN5Gitjts7aANFRg5fzV8wGp-_szrpDAt2jzwnHuqrmlu3b1WXKuYeiHawlyDHuPcUDXZ6LpneJNmn62LgQTLktJuMkWPTxbxfK
4,Puskesmas Ulak Karang,-0.9133884000000001,100.352118,3.5,"Jl. Medan No.6, Ulak Karang Sel., Kec. Padang Utara, Kota Padang, Sumatera Barat, Indonesia",ATtYBwIKd87jhw-p8tA_Aq_V6PJVIPeGkFmVABRoBAwX5jhykhAba6OZX-_e61qgEd4Xqkq6D1A-y0c5CCtXy45hRa4mGiX3sV8t_DBFRUgy6aA2LakwaMXVs1emKmSx_WQ9MaUVwz3oZtARKCP-702SbbYicIQuUx_TdhuDooyxUXsDz0cK
5,PHC Lubuk Begalung,-0.9643322000000001,100.3942754,4.0,"Jl. P. Air No.27 D, Parak Laweh Pulau Air Nan XX, Kec. Lubuk Begalung, Kota Padang, Sumatera Barat 25154, Indonesia",ATtYBwIZTPs6-fMB74A_5Kff3hRVCr81hz783U_MCboNf19-u6iFd7PL6qKGkl_McXtkEIDHbbElNNyhCjKenzSS_FGwOX5O5Zjhg-2Hofhvdk56KdTq50gtHc3tewN-HsQxn8aDFO4edgiFRtnibhSAjnXGk1SeMS1kQZRBdMIfadpXQPYQ
6,Puskesmas,-0.9401991000000001,100.3582113,1.0,"Padang Pasir, West Padang, Padang City, West Sumatra, Indonesia",NULL
7,Puskesmas Ambacang,-0.9236409999999999,100.3973945,3.2,"Pasar Ambacang, Kuranji, Padang City, West Sumatra 25175, Indonesia",ATtYBwIb3vg1Q55kfFXjtzF9Dn47Cyd5oj6iC1Al700_zO4c-skEeqvCGq7zF6LwPOGUSu6oateyVtx4v3GVDgw3lk5WyEBW7TxMUL1wbzFH_kqhC8c91SrHbCiA7QiYlK9WclvnswQtOqaE-xHljsh_sCEuf_kWEiYKfjSf0zUN_UeEUJei
8,Puskesmas Andalas,-0.9386797000000001,100.3846533,3.6,"Gg. Sarga Indah Jl. Andalas No.82B, Andalas, Kec. Padang Tim., Kota Padang, Sumatera Barat 25171, Indonesia",ATtYBwLQnAy4kQj3z8LnrCuf1z9zSG5wYKHFWzLMD9Kh6AxXDSFFyG5uoTzkGrTjIAru_KWz_88T-SX2w_2GyeMrI9rdivQwDYRTZioBFechwNsVoCRoQ-BjDCHAHjIBJiCrKiqBUs9LRLz4NnU1p_p5qmnMITDsVU8zBd-gIcXNqnqne0hL
9,Puskesmas Pauh,-0.9282907,100.4264006,3.3,"Jl. Irigasi, Cupak Tangah, Kec. Pauh, Kota Padang, Sumatera Barat 25176, Indonesia",ATtYBwLHOfUgQvKNZFEAvb0QsfQamktcat_bkQEtGcS2hI4AObAPo-Pa_pXFb6z4JKI1cPAg6pDfmWOCtcGtN1ee389qDSvzbwBEZIUfU6W_WU-HQ6xv6ucX-w0DB7un2jc6igGBa_s-_RABy3EE_DzFu0zhaIz45W3ew2Hex6SjgbJ7eR5_
